feature,coefficient,outcome,absolute_coefficient
categorical__dominant_predicted_intent_possible_adverse_effect,0.007180659434165537,low_csat,0.007180659434165537
categorical__dominant_predicted_intent_not_dispatched,-0.002720711186644683,low_csat,0.002720711186644683
categorical__dominant_predicted_intent_refund_query,-0.5821382151666881,not_retained_90d,0.5821382151666881
categorical__dominant_predicted_intent_reminder_missing,-0.40530859807350683,not_retained_90d,0.40530859807350683
categorical__dominant_predicted_intent_login_issue,0.3470562451172094,not_retained_90d,0.3470562451172094
numeric__repeat_flag_share,0.31572605472840887,not_retained_90d,0.31572605472840887
categorical__dominant_predicted_intent_parcel_not_received,0.31033308765972356,not_retained_90d,0.31033308765972356
categorical__dominant_predicted_intent_change_delivery_address,-0.30448957756832384,not_retained_90d,0.30448957756832384
numeric__contacts,0.29798533419810125,not_retained_90d,0.29798533419810125
categorical__dominant_predicted_intent_urgent_ran_out_medicine,0.2965283022272365,not_retained_90d,0.2965283022272365
categorical__dominant_predicted_intent_medicine_unavailable,0.25390682381413193,not_retained_90d,0.25390682381413193
categorical__dominant_predicted_intent_online_doctor_order_status,-0.23935382664210897,not_retained_90d,0.23935382664210897
categorical__dominant_predicted_intent_split_order_request,0.22522751924629045,not_retained_90d,0.22522751924629045
categorical__dominant_predicted_intent_delivery_tracking,-0.20958723733222456,not_retained_90d,0.20958723733222456
categorical__dominant_predicted_intent_not_dispatched,0.17888561395071306,not_retained_90d,0.17888561395071306
categorical__dominant_channel_social,0.17326008626195977,not_retained_90d,0.17326008626195977
categorical__dominant_predicted_intent_waiting_gp_approval,0.15589390520121468,not_retained_90d,0.15589390520121468
categorical__dominant_predicted_intent_clinical_review_delay,0.14964500925264734,not_retained_90d,0.14964500925264734
numeric__human_adviser_share,-0.1378444994111525,not_retained_90d,0.1378444994111525
categorical__dominant_predicted_intent_possible_adverse_effect,-0.12728102326110824,not_retained_90d,0.12728102326110824
categorical__dominant_channel_phone_transcript,-0.12477930823771141,not_retained_90d,0.12477930823771141
categorical__dominant_predicted_intent_delivery_delayed,0.12194946078958573,not_retained_90d,0.12194946078958573
categorical__dominant_channel_live_chat,-0.12036847674954197,not_retained_90d,0.12036847674954197
categorical__dominant_predicted_intent_gp_declined_request,-0.09865038062961143,not_retained_90d,0.09865038062961143
categorical__crm_segment_high_support_need,0.09625338163832564,not_retained_90d,0.09625338163832564
categorical__dominant_predicted_intent_complaint_service,-0.0822274040941162,not_retained_90d,0.0822274040941162
categorical__dominant_channel_app_review,0.07329910580858166,not_retained_90d,0.07329910580858166
categorical__crm_segment_new,-0.05536144015367454,not_retained_90d,0.05536144015367454
numeric__low_confidence_share,-0.05156012100414927,not_retained_90d,0.05156012100414927
categorical__dominant_predicted_intent_unclear_or_out_of_scope,0.0487569513726555,not_retained_90d,0.0487569513726555
numeric__negative_share,0.03957447228945456,not_retained_90d,0.03957447228945456
categorical__crm_segment_routine,-0.03579269807303246,not_retained_90d,0.03579269807303246
numeric__proactive_message_share,-0.027115723785643878,not_retained_90d,0.027115723785643878
categorical__dominant_predicted_intent_prescription_not_received,-0.025910983998440135,not_retained_90d,0.025910983998440135
categorical__dominant_predicted_intent_repeat_prescription_request,-0.025295361339224456,not_retained_90d,0.025295361339224456
categorical__dominant_predicted_intent_wrong_notification,0.012991359748299857,not_retained_90d,0.012991359748299857
numeric__clinical_escalations,0.007735313991550333,not_retained_90d,0.007735313991550333
categorical__dominant_predicted_intent_early_repeat_request,0.0041675731372702324,not_retained_90d,0.0041675731372702324
categorical__dominant_channel_email,0.003687836328336599,not_retained_90d,0.003687836328336599
