contact_id,pseudo_patient_id,timestamp,channel,service_line,raw_text,intent,category,journey_stage,root_cause,sentiment,urgency,default_route,safety_sensitive,chatbot_eligible,proactive_candidate,synthetic_issue_pattern,repeat_contact_14d
C0000024,P001783,2026-01-01 03:32:59,email,NHS prescription,"Hi support, The request is missing from my acct.",prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000025,P003386,2026-01-01 03:39:42,email,NHS prescription,"Hello, I want to make a complaint about the service. postcode B15 2TT",complaint_service,Service access,Service,General service complaint,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000026,P002562,2026-01-01 03:40:55,phone_transcript,NHS prescription,hello um My order has been packing for two days and is not dispatched asap,not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000027,P001941,2026-01-01 03:41:04,email,NHS prescription,"Hello, Why is my prescription still with my GP? Also, My GP says they sent the prescription but it is not showing!!!",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000028,P005205,2026-01-01 03:53:30,live_chat,NHS prescription,I cannot log into my acct!!!,login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000029,P005878,2026-01-01 03:53:43,phone_transcript,NHS prescription,"pls can you help, My medication order is stuck during processing. My phone is 07233620335",clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000030,P006534,2026-01-01 04:08:41,live_chat,NHS prescription,hi - The medicine parcel is delayed after dispatch. DOB 18/11/1975,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000031,P003461,2026-01-01 04:11:23,app_review,Online Doctor or shop,App issue: Where is my Online Doctor order? please,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000032,P003525,2026-01-01 04:19:12,email,NHS prescription,"Dear team, Royal Mail tracking has not moved and my delivery is late please",delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000033,P007191,2026-01-01 04:22:47,social,NHS prescription,Why has my doctor refused the request? asap,gp_declined_request,GP approval,Await GP approval,GP declined or changed request,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000034,P005902,2026-01-01 04:37:36,app_review,NHS prescription,Please fix this: The parcel is missing even though it says delivered.,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000035,P000693,2026-01-01 04:37:37,phone_transcript,NHS prescription,"please can you help, I am going away next week, can I order my medication early? asap",early_repeat_request,Prescription request,Request,Request submitted earlier than expected,positive,standard,Human adviser,False,False,False,standard_known_intent,False
C0000036,P005006,2026-01-01 04:40:09,phone_transcript,NHS prescription,"please can you help, My order has been packing for two days and is not dispatched thanks",not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000037,P005234,2026-01-01 04:46:25,phone_transcript,NHS prescription,right so The delivery status has not changed.,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000038,P005088,2026-01-01 05:10:18,social,NHS prescription,Can someone help? My medicine order has not arrived yet please,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000039,P005124,2026-01-01 05:11:02,email,NHS prescription,Please help. Please split my order cos one medicine is delayed asap,split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,neutral,standard,Human adviser,False,False,False,standard_known_intent,False
C0000040,P001097,2026-01-01 05:11:09,email,Online Doctor or shop,"Hi support, Please check my private order!!!",refund_query,Online Doctor and shop,Shop or Online Doctor,Refund progress query,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000041,P004099,2026-01-01 05:20:45,app_review,NHS prescription,I did not receive my reorder reminder.,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000042,P002710,2026-01-01 05:28:19,phone_transcript,NHS prescription,right so Please send me the tracking link for my parcel. email jo55@example.com,delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000043,P003783,2026-01-01 05:31:57,email,NHS prescription,Please help. There is a stock issue with my tablets!!! address 45 Spring Lane,medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000044,P006874,2026-01-01 05:47:17,phone_transcript,NHS prescription,hi I am calling because My medss have not arrived at all. My phone is 07761714555,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000045,P005260,2026-01-01 05:52:53,phone_transcript,NHS prescription,"pls can you help, The parcel is missing even though it says delivered asap",parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000046,P001676,2026-01-01 05:53:35,live_chat,NHS prescription,hi - Please split my order because one medicine is delayed please,split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,neutral,standard,Human adviser,False,False,False,standard_known_intent,False
C0000047,P002131,2026-01-01 06:07:50,app_review,NHS prescription,Not happy. I need to request my usual tablets again.,repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000048,P005008,2026-01-01 06:10:52,phone_transcript,NHS prescription,hello um One part of my order has not moved thanks,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000049,P002394,2026-01-01 06:16:24,phone_transcript,NHS prescription,"right so Where can I find my Royal Mail tracking number? Also, The medicine parcel is delayed after dispatch My phone is 07953770527",delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000050,P005280,2026-01-01 06:25:40,phone_transcript,NHS prescription,right so One part of my order has not moved,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000051,P000723,2026-01-01 06:37:45,phone_transcript,NHS prescription,"pls can you help, Where can I find my Royal Mail tracking number? asap",delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000052,P000466,2026-01-01 06:37:56,live_chat,NHS prescription,hello I moved house and need to update my address pls order no P2U-669583,change_delivery_address,Account management,Account,Delivery address needs update,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000053,P002328,2026-01-01 06:45:46,phone_transcript,NHS prescription,right so The app did not remind me to request my tablets!!!,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000054,P003662,2026-01-01 06:47:48,email,NHS prescription,"Dear team, Can I reorder my regular medicine through the app? thanks",repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000055,P004804,2026-01-01 06:53:48,app_review,Online Doctor or shop,How long does the refund take?,refund_query,Online Doctor and shop,Shop or Online Doctor,Refund progress query,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000056,P005722,2026-01-01 06:56:44,live_chat,NHS prescription,How do I order my repeat prescription? please,repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000057,P003365,2026-01-01 07:05:55,live_chat,NHS prescription,hello Royal Mail tracking has not moved and my delivery is late asap my name is Jo Brown,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000058,P005803,2026-01-01 07:16:22,phone_transcript,NHS prescription,hello um Why is the pharmacist check taking so long?.,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000059,P001431,2026-01-01 07:24:09,email,NHS prescription,"Dear team, My prescription should have arrived yesterday please",delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000060,P001349,2026-01-01 07:28:33,phone_transcript,NHS prescription,"please can you help, The request is missing from my account.",prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000061,P004824,2026-01-01 07:43:19,phone_transcript,NHS prescription,right so When will you post my tablets?.,not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000062,P001567,2026-01-01 07:51:25,app_review,Online Doctor or shop,App issue: Where is my Online Doctor order? asap,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000063,P007429,2026-01-01 08:02:34,live_chat,NHS prescription,My GP says they sent the prescrption but it is not showing asap My phone is 07251428720,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000064,P003346,2026-01-01 08:02:44,phone_transcript,NHS prescription,hello um How do I order my repeat prescription? pls,repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000065,P006664,2026-01-01 08:11:45,phone_transcript,NHS prescription,hello um The parcel is missing even though it says delivered please,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000066,P003679,2026-01-01 08:12:55,social,NHS prescription,pls respond: Royal Mail tracking has not moved and my delivery is late!!!,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000067,P002974,2026-01-01 08:24:41,live_chat,NHS prescription,I want to make a complaint about the service!!! My phone is 07766515532,complaint_service,Service access,Service,General service complaint,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000068,P004192,2026-01-01 08:29:01,email,NHS prescription,"Hello, I have run out of my tablets and need help today thanks",urgent_ran_out_medicine,Safety-sensitive,Urgent support,Customer reports no medicine remaining,negative,urgent clinical escalation,Clinical escalation,True,False,False,standard_known_intent,False
C0000069,P001259,2026-01-01 08:55:33,phone_transcript,NHS prescription,"right so My order is waiting for GP aproval, what should I do? asap",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000070,P001154,2026-01-01 09:11:39,phone_transcript,NHS prescription,"hello um My order is waiting for GP approval, what should I do? order no P2U-945014",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000071,P006567,2026-01-01 09:18:16,phone_transcript,NHS prescription,"hello um My order is waiting for GP approval, what should I do? asap",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000072,P000384,2026-01-01 09:22:19,live_chat,NHS prescription,hello My GP says they sent the prescription but it is not showing please,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000073,P000685,2026-01-01 09:29:38,live_chat,NHS prescription,pls help: My medicines have not arrived at all.,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000074,P007337,2026-01-01 09:46:53,live_chat,NHS prescription,pls help: My GP says they sent the prescription but it is not showing please,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000075,P000145,2026-01-01 09:53:55,phone_transcript,NHS prescription,hi I am calling cos My medicines have not arrived at all thanks,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000076,P004255,2026-01-01 09:55:39,app_review,NHS prescription,App issue: I have a question about something on the site thanks,unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,neutral,standard,Human adviser,False,False,False,standard_known_intent,False
C0000077,P002294,2026-01-01 09:59:04,app_review,NHS prescription,Please fix this: Can you check why the surgery step has not changed?,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000078,P006231,2026-01-01 10:00:39,phone_transcript,NHS prescription,right so Can you tell me what is happening with my parcel?!!!,delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000079,P004223,2026-01-01 10:12:58,phone_transcript,NHS prescription,"please can you help, How do I order my repeat prescrption? thanks",repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000080,P002015,2026-01-01 10:15:44,phone_transcript,NHS prescription,"pls can you help, Can you tell me what is happening with my parcel? thanks",delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000081,P000240,2026-01-01 10:21:53,live_chat,NHS prescription,Where can I find my Royal Mail tracking number? please My phone is 07447143396,delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000082,P001916,2026-01-01 10:22:56,phone_transcript,NHS prescription,"please can you help, There is a stock issue with my tablets asap My phone is 07739493232",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000083,P004423,2026-01-01 10:24:00,phone_transcript,NHS prescription,"please can you help, There is a stock issue with my tablets!!!",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000084,P007446,2026-01-01 10:39:16,phone_transcript,NHS prescription,hi I am calling because I moved house and need to update my address. My phone is 07450190306,change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000085,P000998,2026-01-01 10:42:07,live_chat,NHS prescription,"pls help: Please split my order because one medicine is delayed Also, One item is out of stock, when will it be available?.",split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,positive,standard,Human adviser,False,False,False,standard_known_intent,False
C0000086,P000347,2026-01-01 11:10:26,live_chat,NHS prescription,"pls help: My order is waiting for GP aproval, what should I do?!!!",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000087,P006354,2026-01-01 11:17:35,phone_transcript,NHS prescription,right so My GP says they sent the prescription but it is not showing,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000088,P006572,2026-01-01 11:42:09,phone_transcript,NHS prescription,hello um The app says awaiting GP approval for days thanks,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000089,P006046,2026-01-01 11:42:45,phone_transcript,NHS prescription,"please can you help, I received a dispatch message for the wrong order asap DOB 12/12/1964",wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000090,P004075,2026-01-01 11:47:00,live_chat,NHS prescription,I moved house and need to update my address pls,change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000091,P004939,2026-01-01 12:03:58,live_chat,NHS prescription,pls help: My GP says they sent the prescription but it is not showing please,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000092,P006023,2026-01-01 12:08:50,app_review,NHS prescription,Not happy. Royal Mail tracking has not moved and my delivery is late. order no P2U-373197,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000093,P006332,2026-01-01 12:15:13,social,Online Doctor or shop,@support Can I track the order from my online consultation?,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000094,P002888,2026-01-01 12:31:16,app_review,NHS prescription,App issue: The order is stuck at clinical review,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000095,P001728,2026-01-01 12:45:29,live_chat,NHS prescription,hello I want to make a complaint about the service thanks,complaint_service,Service access,Service,General service complaint,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000096,P005680,2026-01-01 12:56:36,live_chat,Online Doctor or shop,pls help: Has my private prescrption been dispatched?!!!,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000097,P006269,2026-01-01 13:18:30,email,NHS prescription,pls help. Can you tell me what is happening with my parcel? thanks,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000098,P002411,2026-01-01 13:19:33,phone_transcript,NHS prescription,right so One part of my order has not moved.,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000099,P006355,2026-01-01 13:32:30,phone_transcript,NHS prescription,right so I cannot log into my acct asap,login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000100,P001468,2026-01-01 13:37:01,email,NHS prescription,"Dear team, How can I change my delivery address?!!!",change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000101,P006282,2026-01-01 13:55:29,phone_transcript,NHS prescription,right so The app says awaiting GP aproval for days,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000102,P001395,2026-01-01 13:59:58,phone_transcript,Online Doctor or shop,right so I returned an item and need a refund update,refund_query,Online Doctor and shop,Shop or Online Doctor,Refund progress query,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000103,P003888,2026-01-01 14:12:29,live_chat,NHS prescription,hi - I have contacted you twice and nobody has resolved this.,complaint_service,Service access,Service,General service complaint,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000104,P003851,2026-01-01 14:16:37,email,NHS prescription,"Hello, Can you check why the surgery step has not changed? thanks",gp_declined_request,GP approval,Await GP approval,GP declined or changed request,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000105,P001649,2026-01-01 14:17:35,live_chat,NHS prescription,hi - Why have the reminder texts stopped? asap,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000106,P005530,2026-01-01 14:25:01,email,NHS prescription,Please help. My prescription should have arrived yday!!! postcode M13 9PL,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000107,P004447,2026-01-01 14:29:53,email,NHS prescription,"Hello, One item is out of stock, when will it be available? please",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000108,P003657,2026-01-01 14:37:37,phone_transcript,NHS prescription,right so I received a dispatch message for the wrong order.,wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000109,P004188,2026-01-01 14:40:15,app_review,NHS prescription,"App issue: My order is waiting for GP aproval, what should I do? Also, The order is stuck at clinical review!!!",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000110,P003577,2026-01-01 14:55:05,email,NHS prescription,Please help. Can someone contact me?,unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000111,P004713,2026-01-01 15:01:38,live_chat,NHS prescription,pls help: Tracking says delivered but there is no parcel here thanks,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000112,P000023,2026-01-01 15:11:14,email,NHS prescription,"Hello, The medicine parcel is delayed after dispatch thanks My phone is 07730117064",delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000113,P001781,2026-01-01 15:21:04,phone_transcript,NHS prescription,hi I am calling because Why have you not received my prescription yet? thanks,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000114,P000896,2026-01-01 15:21:31,phone_transcript,NHS prescription,hi I am calling because I moved house and need to update my address.,change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000115,P001598,2026-01-01 15:26:10,phone_transcript,NHS prescription,hi I am calling because My prescription should have arrived yesterday,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000116,P005994,2026-01-01 15:46:29,live_chat,NHS prescription,The app says awaiting GP approval for days please,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000117,P006105,2026-01-01 15:58:49,live_chat,NHS prescription,hi - The prescription was declined by the surgery please My phone is 07789429057,gp_declined_request,GP approval,Await GP approval,GP declined or changed request,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000118,P007185,2026-01-01 15:59:24,email,NHS prescription,"Hello, There is a problem with my prescrption request!!!",prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
